,season,team,Est_Payroll
229,1998,Florida Marlins,"$41,864,667"
230,1998,Houston Astros,"$42,374,000"
231,1998,Kansas City Royals,"$38,097,500"
232,1998,Los Angeles Dodgers,"$48,820,000"
233,1998,Milwaukee Brewers,"$34,139,904"
234,1998,Minnesota Twins,"$28,097,500"
235,1998,Montreal Expos,"$10,641,500"
236,1998,New York Mets,"$52,247,999"
237,1998,New York Yankees,"$66,806,867"
238,1998,Oakland Athletics,"$21,473,000"
239,1998,Philadelphia Phillies,"$36,297,500"
240,1998,Pittsburgh Pirates,"$15,065,000"
241,1998,San Diego Padres,"$46,861,500"
242,1998,Seattle Mariners,"$54,802,036"
243,1998,San Francisco Giants,"$42,738,334"
244,1998,St. Louis Cardinals,"$54,672,521"
245,1998,Tampa Bay Devil Rays,"$27,280,000"
246,1998,Texas Rangers,"$56,752,095"
247,1998,Toronto Blue Jays,"$51,376,000"
248,1999,Anaheim Angels,"$55,633,166"
249,1999,Arizona Diamondbacks,"$68,703,999"
250,1999,Atlanta Braves,"$73,341,000"
251,1999,Baltimore Orioles,"$80,805,863"
252,1999,Boston Red Sox,"$64,097,500"
253,1999,Chicago Cubs,"$62,343,000"
254,1999,Chicago White Sox,"$25,820,000"
255,1999,Cincinnati Reds,"$33,962,761"
256,1999,Cleveland Indians,"$73,679,962"
257,1999,Colorado Rockies,"$61,935,837"
258,1999,Detroit Tigers,"$36,689,666"
259,1999,Florida Marlins,"$21,085,000"
260,1999,Houston Astros,"$55,114,000"
261,1999,Kansas City Royals,"$26,660,000"
262,1999,Los Angeles Dodgers,"$81,062,453"
263,1999,Milwaukee Brewers,"$43,377,395"
264,1999,Minnesota Twins,"$22,107,500"
265,1999,Montreal Expos,"$17,903,000"
266,1999,New York Mets,"$68,852,092"
267,1999,New York Yankees,"$86,934,359"
268,1999,Oakland Athletics,"$24,831,833"
269,1999,Philadelphia Phillies,"$31,897,500"
270,1999,Pittsburgh Pirates,"$25,047,666"
271,1999,San Diego Padres,"$49,768,179"
272,1999,Seattle Mariners,"$54,125,003"
273,1999,San Francisco Giants,"$46,798,057"
274,1999,St. Louis Cardinals,"$49,988,195"
275,1999,Tampa Bay Devil Rays,"$38,870,000"
276,1999,Texas Rangers,"$76,709,931"
277,1999,Toronto Blue Jays,"$45,444,333"
278,2000,Anaheim Angels,"$52,664,167"
279,2000,Arizona Diamondbacks,"$81,027,833"
280,2000,Atlanta Braves,"$84,737,836"
281,2000,Baltimore Orioles,"$82,347,435"
282,2000,Boston Red Sox,"$79,975,333"
283,2000,Chicago Cubs,"$60,539,333"
284,2000,Chicago White Sox,"$31,743,500"
285,2000,Cincinnati Reds,"$46,867,200"
286,2000,Cleveland Indians,"$76,972,271"
287,2000,Colorado Rockies,"$61,111,190"
288,2000,Detroit Tigers,"$59,645,167"
289,2000,Florida Marlins,"$20,347,000"
290,2000,Houston Astros,"$51,289,111"
291,2000,Kansas City Royals,"$24,903,000"
292,2000,Los Angeles Dodgers,"$88,124,286"
293,2000,Milwaukee Brewers,"$37,305,333"
294,2000,Minnesota Twins,"$17,529,500"
295,2000,Montreal Expos,"$32,994,333"
296,2000,New York Mets,"$79,509,776"
297,2000,New York Yankees,"$93,113,260"
298,2000,Oakland Athletics,"$33,172,333"
299,2000,Philadelphia Phillies,"$47,513,000"
300,2000,Pittsburgh Pirates,"$31,328,334"
301,2000,San Diego Padres,"$55,021,000"
302,2000,Seattle Mariners,"$60,495,000"
303,2000,San Francisco Giants,"$53,737,826"
304,2000,St. Louis Cardinals,"$61,653,863"
305,2000,Tampa Bay Devil Rays,"$63,265,129"
306,2000,Texas Rangers,"$70,795,921"
307,2000,Toronto Blue Jays,"$46,038,332"
308,2001,Anaheim Angels,"$47,735,167"
309,2001,Arizona Diamondbacks,"$85,082,999"
310,2001,Atlanta Braves,"$91,936,166"
311,2001,Baltimore Orioles,"$74,279,540"
312,2001,Boston Red Sox,"$110,035,833"
313,2001,Chicago Cubs,"$64,715,833"
314,2001,Chicago White Sox,"$65,653,667"
315,2001,Cincinnati Reds,"$48,986,000"
316,2001,Cleveland Indians,"$93,360,001"
317,2001,Colorado Rockies,"$71,541,334"
318,2001,Detroit Tigers,"$53,416,167"
319,2001,Florida Marlins,"$35,762,500"
320,2001,Houston Astros,"$60,612,667"
321,2001,Kansas City Royals,"$35,422,500"
322,2001,Los Angeles Dodgers,"$109,105,953"
323,2001,Milwaukee Brewers,"$43,886,833"
324,2001,Minnesota Twins,"$24,130,000"
325,2001,Montreal Expos,"$35,159,500"
326,2001,New York Mets,"$93,174,428"
327,2001,New York Yankees,"$112,787,143"
328,2001,Oakland Athletics,"$33,810,750"
329,2001,Philadelphia Phillies,"$41,663,833"
330,2001,Pittsburgh Pirates,"$57,760,833"
331,2001,San Diego Padres,"$39,182,833"
332,2001,Seattle Mariners,"$74,720,834"
333,2001,San Francisco Giants,"$63,280,167"
334,2001,St. Louis Cardinals,"$79,373,333"
335,2001,Tampa Bay Devil Rays,"$56,980,000"
336,2001,Texas Rangers,"$88,633,500"
337,2001,Toronto Blue Jays,"$76,895,999"
338,2002,Anaheim Angels,"$61,721,667"
339,2002,Arizona Diamondbacks,"$102,819,999"
340,2002,Atlanta Braves,"$93,470,367"
341,2002,Baltimore Orioles,"$64,493,487"
342,2002,Boston Red Sox,"$108,366,060"
343,2002,Chicago Cubs,"$75,690,833"
344,2002,Chicago White Sox,"$57,052,833"
345,2002,Cincinnati Reds,"$45,050,390"
346,2002,Cleveland Indians,"$78,909,449"
347,2002,Colorado Rockies,"$56,851,043"
348,2002,Detroit Tigers,"$55,048,000"
349,2002,Florida Marlins,"$41,979,917"
350,2002,Houston Astros,"$63,448,417"
351,2002,Kansas City Royals,"$47,257,000"
352,2002,Los Angeles Dodgers,"$94,850,953"
353,2002,Milwaukee Brewers,"$50,287,833"
354,2002,Minnesota Twins,"$40,425,000"
355,2002,Montreal Expos,"$38,670,500"
356,2002,New York Mets,"$94,633,593"
357,2002,New York Yankees,"$125,928,583"
358,2002,Oakland Athletics,"$40,004,167"
359,2002,Philadelphia Phillies,"$57,954,999"
360,2002,Pittsburgh Pirates,"$42,323,599"
361,2002,San Diego Padres,"$41,425,000"
362,2002,Seattle Mariners,"$80,282,668"
363,2002,San Francisco Giants,"$78,299,835"
364,2002,St. Louis Cardinals,"$74,660,875"
365,2002,Tampa Bay Devil Rays,"$34,380,000"
366,2002,Texas Rangers,"$105,726,122"
367,2002,Toronto Blue Jays,"$76,864,333"
368,2003,Anaheim Angels,"$79,031,667"
369,2003,Arizona Diamondbacks,"$80,657,000"
370,2003,Atlanta Braves,"$106,243,667"
371,2003,Baltimore Orioles,"$73,877,500"
372,2003,Boston Red Sox,"$99,946,500"
373,2003,Chicago Cubs,"$79,868,333"
374,2003,Chicago White Sox,"$51,010,000"
375,2003,Cincinnati Reds,"$59,355,667"
376,2003,Cleveland Indians,"$48,584,834"
377,2003,Colorado Rockies,"$67,179,667"
378,2003,Detroit Tigers,"$49,168,000"
379,2003,Florida Marlins,"$49,450,000"
380,2003,Houston Astros,"$71,040,000"
381,2003,Kansas City Royals,"$40,518,000"
382,2003,Los Angeles Dodgers,"$105,872,620"
383,2003,Milwaukee Brewers,"$40,627,000"
384,2003,Minnesota Twins,"$55,505,000"
385,2003,Montreal Expos,"$51,948,500"
386,2003,New York Mets,"$117,176,429"
387,2003,New York Yankees,"$152,749,814"
388,2003,Oakland Athletics,"$50,260,834"
389,2003,Philadelphia Phillies,"$70,780,000"
390,2003,Pittsburgh Pirates,"$54,812,429"
391,2003,San Diego Padres,"$45,210,000"
392,2003,Seattle Mariners,"$86,959,167"
393,2003,San Francisco Giants,"$82,852,167"
