team_name,batters_avg_age,pitchers_avg_age,Batting_Park_Factor,Pitching_Park_Factor,HoF,AllStars,AllTimeASapp,Est_Payroll,AvgGameStartTime,yearID
New York Mets,27.8,28.6,99,99,0,1,10,"$30,956,583",2:52,1994
New York Yankees,30.5,29.8,96,95,1,3,12,"$46,040,334",3:06,1994
Oakland Athletics,29.2,29.8,91,92,2,1,12,"$34,172,500",3:01,1994
Philadelphia Phillies,29.8,29.3,102,102,0,4,15,"$31,599,000",2:51,1994
Pittsburgh Pirates,29.1,27.2,101,102,0,1,7,"$24,217,250",2:45,1994
San Diego Padres,27.2,26.8,97,98,2,1,7,"$14,916,333",2:51,1994
Seattle Mariners,27.4,27.1,101,101,4,2,10,"$29,228,500",2:57,1994
San Francisco Giants,28.4,28.5,94,94,0,3,9,"$42,638,666",2:53,1994
St. Louis Cardinals,28.9,29.4,98,98,1,2,8,"$29,275,601",2:51,1994
Texas Rangers,27.4,29.0,99,100,1,2,14,"$32,973,597",3:12,1994
Toronto Blue Jays,29.3,29.0,100,100,2,4,14,"$43,433,668",2:58,1994
Atlanta Braves,27.9,27.4,103,101,4,2,16,"$47,235,445",2:41,1995
Baltimore Orioles,30.0,29.3,102,101,3,1,17,"$43,942,521",3:03,1995
Boston Red Sox,28.6,29.1,103,103,0,2,11,"$32,455,518",2:57,1995
California Angels,28.8,30.7,99,99,1,4,11,"$31,223,171",3:05,1995
Chicago Cubs,28.3,27.8,97,97,0,3,9,"$29,505,834",2:54,1995
Chicago White Sox,29.5,27.6,96,95,2,1,17,"$46,961,282",3:00,1995
Cincinnati Reds,28.4,28.3,99,98,1,4,13,"$43,144,670",2:48,1995
Cleveland Indians,29.0,30.6,101,99,3,6,18,"$38,057,835",3:02,1995
Colorado Rockies,29.5,28.6,128,128,1,2,10,"$34,154,717",2:52,1995
Detroit Tigers,28.8,27.8,100,102,1,1,11,"$37,044,168",2:55,1995
Florida Marlins,28.1,28.3,100,100,1,1,8,"$24,515,781",2:50,1995
Houston Astros,28.1,27.9,92,92,2,1,13,"$34,169,834",3:00,1995
Kansas City Royals,29.1,28.0,101,101,0,1,13,"$29,532,834",2:52,1995
Los Angeles Dodgers,27.4,27.8,91,90,1,5,11,"$39,273,201",2:54,1995
Milwaukee Brewers,27.9,27.3,105,105,0,1,10,"$17,798,825",2:57,1995
Minnesota Twins,27.4,25.7,101,102,1,1,7,"$25,410,500",2:54,1995
Montreal Expos,26.2,27.6,103,103,1,1,12,"$12,473,000",2:49,1995
New York Mets,27.4,27.2,96,96,0,1,13,"$27,674,992",2:49,1995
New York Yankees,31.1,28.1,99,98,3,3,20,"$48,874,851",3:01,1995
Oakland Athletics,29.5,30.9,91,91,2,2,13,"$37,739,225",3:01,1995
Philadelphia Phillies,29.7,27.1,99,100,0,5,16,"$30,555,945",2:48,1995
Pittsburgh Pirates,28.3,26.4,101,102,0,1,6,"$18,355,345",2:47,1995
San Diego Padres,28.8,26.6,97,97,2,1,9,"$26,382,334",2:46,1995
Seattle Mariners,28.8,28.9,101,101,3,4,12,"$36,481,311",3:02,1995
San Francisco Giants,28.8,28.6,95,96,0,2,8,"$36,462,777",2:51,1995
St. Louis Cardinals,28.7,30.2,98,99,1,2,11,"$37,101,000",2:42,1995
Texas Rangers,29.1,30.6,103,103,1,2,10,"$34,581,451",2:59,1995
Toronto Blue Jays,28.9,28.7,99,100,2,1,15,"$50,590,000",3:00,1995
Atlanta Braves,27.9,27.9,105,104,4,6,17,"$49,698,500",2:44,1996
Baltimore Orioles,31.2,28.9,100,99,4,3,14,"$54,599,315",3:08,1996
Boston Red Sox,28.4,28.7,101,101,0,1,14,"$42,393,500",3:05,1996
California Angels,29.3,29.1,98,98,1,2,13,"$28,847,000",3:03,1996
Chicago Cubs,29.0,28.3,102,102,1,1,8,"$33,081,000",2:53,1996
Chicago White Sox,30.6,27.8,95,95,2,2,11,"$45,289,500",3:00,1996
Cincinnati Reds,29.3,29.2,100,100,2,1,13,"$42,526,334",2:50,1996
Cleveland Indians,29.7,30.3,99,97,2,5,21,"$48,216,360",3:06,1996
Colorado Rockies,30.1,28.8,123,123,1,3,7,"$40,324,823",2:57,1996
Detroit Tigers,27.0,26.7,100,102,1,1,11,"$23,438,000",3:00,1996
Florida Marlins,27.9,28.0,97,96,1,3,13,"$31,132,000",2:50,1996
Houston Astros,28.2,28.5,92,91,2,2,12,"$28,487,000",2:54,1996
Kansas City Royals,27.1,29.0,99,99,0,1,8,"$20,281,250",2:49,1996
Los Angeles Dodgers,27.9,28.3,93,92,1,2,8,"$35,355,000",2:56,1996
Milwaukee Brewers,27.8,27.2,103,104,0,1,11,"$21,730,000",3:02,1996
Minnesota Twins,28.6,25.8,101,102,1,1,9,"$23,117,000",2:56,1996
Montreal Expos,27.4,27.5,102,102,2,3,9,"$16,264,500",2:53,1996
New York Mets,27.2,27.4,95,95,0,2,11,"$24,479,500",2:47,1996
New York Yankees,30.1,29.3,101,100,4,3,23,"$54,191,792",3:03,1996
Oakland Athletics,28.2,27.1,101,102,0,1,6,"$21,243,000",2:59,1996
